date,open,high,low,close,volume
2016-04-21,49.6072,51.5667,48.5432,49.1083,18525060
2016-04-22,49.1143,49.3787,48.435,48.8017,4395977
2016-04-25,48.7957,48.9099,48.4771,48.9039,4138642
2016-04-26,48.988,49.3307,48.8979,49.3126,4294295
2016-04-27,49.1383,49.2585,48.4892,48.982,3223643
2016-04-28,48.6815,48.9159,48.2487,48.3509,1965483
2016-04-29,48.3209,48.3209,47.5154,47.822,3140461
2016-05-02,48.1946,48.7596,48.1105,48.6695,2524109
2016-05-03,48.4531,48.5793,47.8279,47.9181,2089560
2016-05-04,47.6356,48.5733,47.6056,48.4771,3604081
2016-05-05,48.4411,48.7716,48.0924,48.5913,3723151
2016-05-06,48.423,48.7236,47.858,48.6635,4404323
2016-05-09,48.7055,49.4389,48.5733,49.2165,2167039
2016-05-10,49.3667,49.9197,49.0542,49.8296,2511729
2016-05-11,49.541,49.547,48.4471,48.5012,2816636
2016-05-12,48.8077,49.2886,48.6214,49.0301,2395998
2016-05-13,48.8558,48.952,48.2247,48.2667,2733871
2016-05-16,48.2126,49.0121,48.1345,48.8378,2373602
2016-05-17,48.8438,49.2405,48.4711,48.6755,2932645
2016-05-18,48.5733,48.5733,47.9001,48.1886,2654306
2016-05-19,48.0804,48.2247,47.6176,48.1285,2774767
2016-05-20,48.1345,48.6755,47.5034,47.846,7525171
2016-05-23,47.9301,48.1946,47.0826,48.0744,4865023
2016-05-24,48.3749,49.5591,48.3749,49.3667,5034585
2016-05-25,49.3968,49.8656,49.1083,49.6492,6502925
2016-05-26,49.8055,50.1421,49.4509,49.5591,3582799
2016-05-27,49.6071,49.9017,49.4268,49.6432,2552207
2016-05-31,49.4389,49.6492,49.1984,49.3427,6090354
2016-06-01,49.0482,49.8296,48.964,49.5471,3609923
2016-06-02,49.4569,49.7454,49.0241,49.5651,2827903
2016-06-03,49.4268,49.8055,49.1924,49.6552,1848083
2016-06-06,49.6973,50.1782,49.535,50.0039,2479040
2016-06-07,49.8897,50.641,49.8897,50.2744,4047810
2016-06-08,50.1902,50.659,50.0099,50.6049,3100678
2016-06-09,50.3585,50.6891,50.3164,50.3285,3514222
2016-06-10,50.0099,50.1601,49.4509,49.5891,3297644
2016-06-13,49.4869,50.1902,49.3367,49.6312,4552604
2016-06-14,49.493,49.7995,49.2886,49.5831,3917612
2016-06-15,49.8055,50.2684,49.7454,49.7815,3704511
2016-06-16,49.4869,49.8957,49.0842,49.8416,3736365
2016-06-17,49.7214,50.2804,49.5831,50.2202,4619372
2016-06-20,50.7973,51.2962,50.5088,50.5208,4058382
2016-06-21,50.7793,50.8213,50.4186,50.6651,2987033
2016-06-22,50.635,50.7552,50.4246,50.4246,2797301
2016-06-23,50.8454,51.6448,50.8213,51.6328,3781155
2016-06-24,49.9678,50.5208,49.0361,49.3787,6810892
2016-06-27,48.6033,48.8798,47.5695,47.6837,5675836
2016-06-28,48.0263,48.8077,47.8941,48.8077,6699056
2016-06-29,49.2946,49.7815,49.0361,49.6733,4210557
2016-06-30,49.6733,49.8536,49.1684,49.8416,5201505
2016-07-01,49.8596,50.5088,49.6612,50.2082,2548173
2016-07-05,50.07,50.4366,49.8295,49.9137,3534670
2016-07-06,50.1722,50.6831,49.8716,50.5929,4323089
2016-07-07,50.6711,50.9536,50.4727,50.6771,4921497
2016-07-08,51.0918,51.9333,51.0077,51.5486,5619918
2016-07-11,51.6328,52.0536,51.4164,51.9574,4482080
2016-07-12,52.2399,52.5344,51.7169,51.8311,6801851
2016-07-13,51.7586,52.1273,51.4021,51.813,8687491
2016-07-14,54.4176,54.7499,53.0941,53.3419,14672407
2016-07-15,53.4809,53.6501,52.8524,52.8705,5880453
2016-07-18,52.9975,53.1546,52.5563,52.937,4915933
2016-07-19,52.6953,53.1908,52.6953,52.9129,3152562
2016-07-20,53.1788,53.3903,53.0277,53.1002,2033781
2016-07-21,52.8947,53.2573,52.7316,53.1183,2784921
2016-07-22,53.1969,54.5989,53.1969,54.4478,5673750
2016-07-25,54.3451,54.617,54.2423,54.5928,3542460
2016-07-26,54.0127,54.4599,53.7045,53.9341,5646347
2016-07-27,53.9704,54.3269,53.8314,54.2181,5351733
2016-07-28,54.2,54.7197,54.1577,54.5445,3240195
2016-07-29,54.4417,54.6049,53.9643,54.0369,2924995
2016-08-01,53.91,54.3451,53.8254,54.0369,3333671
2016-08-02,53.9643,54.0006,52.9854,53.3661,3226981
2016-08-03,53.2936,53.4144,53.0398,53.4023,2571681
